invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I253567,74,Male,65,Sports Equipment,1,1283.17,Cash,12-21-2022,Marmara Forum
I068857,1,Female,78,Healthcare,9,985.78,Cash,06-21-2022,Istinye Park
I266938,48,Male,19,Stationery,3,2816.78,Cash,11-05-2022,Mall of Istanbul
I414304,72,Female,80,Electronics,2,2326.93,Cash,12-10-2022,Istanbul Sapphire
I674194,45,Male,68,Sports Equipment,2,1955.13,Credit Card,03-27-2023,Metrocity
I502165,17,Male,63,Toys,3,863.51,Credit Card,02-25-2024,Viaport Outlet
I988064,2,Female,29,Stationery,10,875.24,Debit Card,12-02-2022,Forum Istanbul
I238901,7,Male,42,Toys,10,567.26,Debit Card,06-18-2022,Viaport Outlet
I284131,71,Male,63,Healthcare,9,173.09,Cash,07-20-2023,Akasya Acıbadem
I140227,23,Female,80,Kitchenware,2,2443.01,Credit Card,05-10-2022,Capacity
I868618,47,Male,48,Sports Equipment,10,2070.72,Debit Card,10-04-2023,Metrocity
I936507,14,Female,42,Books,5,2507.19,Debit Card,10-04-2022,Istinye Park
I466356,26,Female,32,Shoes,2,2952.07,Debit Card,07-31-2023,Zorlu Center
I437542,59,Female,79,Grocery,1,2841.57,Credit Card,07-27-2022,Marmara Forum
I459330,50,Male,23,Electronics,1,521.02,Cash,07-09-2022,Forum Istanbul
I556282,95,Female,38,Garden Supplies,7,1958.44,Cash,12-20-2023,Istinye Park
I232871,71,Female,45,Grocery,2,2157.27,Credit Card,07-26-2023,Marmara Forum
I280707,36,Female,44,Healthcare,4,2794.74,Cash,11-26-2022,Viaport Outlet
I377721,37,Female,22,Electronics,2,1770.93,Debit Card,04-08-2023,Kanyon
I922234,67,Male,64,Shoes,8,271.78,Credit Card,02-03-2023,Marmara Forum
I957623,29,Male,47,Grocery,4,2769.02,Credit Card,01-15-2024,Forum Istanbul
I647379,5,Female,51,Kitchenware,2,2098.35,Credit Card,03-31-2023,Capacity
I241456,76,Female,34,Healthcare,9,2391.07,Cash,05-10-2023,Kanyon
I824836,69,Male,71,Toys,1,139.44,Credit Card,03-27-2024,Mall of Istanbul
I640492,63,Female,55,Electronics,8,824.23,Debit Card,09-20-2023,Emaar Square Mall
I001353,45,Male,36,Sports Equipment,5,497.82,Cash,04-04-2023,Forum Istanbul
I100774,57,Male,50,Clothing,3,1808.76,Credit Card,06-08-2023,Metrocity
I591946,10,Male,56,Grocery,1,160.29,Credit Card,11-20-2023,Metrocity
I192126,66,Male,19,Electronics,8,1730.11,Credit Card,04-08-2024,Forum Istanbul
I080919,33,Male,51,Furniture,10,2502.21,Cash,02-03-2023,Istinye Park
I032924,46,Male,50,Toys,8,972.63,Credit Card,04-29-2023,Istinye Park
I059144,53,Male,34,Stationery,10,1645.25,Cash,11-06-2023,Optimum Outlet
I842070,85,Male,47,Books,8,1845.82,Debit Card,09-28-2023,Marmara Forum
I169680,71,Male,18,Shoes,7,724.99,Debit Card,01-21-2024,Zorlu Center
I699498,27,Male,22,Stationery,3,325.07,Credit Card,07-18-2022,Capacity
I526164,22,Male,73,Books,6,2816.11,Cash,10-01-2022,Akasya Acıbadem
I687642,34,Male,18,Toys,1,2495.26,Cash,04-23-2024,Marmara Forum
I387023,32,Male,21,Furniture,7,2530.34,Cash,12-14-2023,Optimum Outlet
I357039,12,Female,58,Healthcare,2,2983.36,Cash,07-18-2022,Emaar Square Mall
I932234,9,Female,69,Home Appliances,10,2106.42,Credit Card,06-26-2022,Akasya Acıbadem
I218926,97,Male,32,Sports Equipment,10,1645.29,Cash,04-10-2024,Emaar Square Mall
I384328,84,Female,61,Kitchenware,6,2150.82,Debit Card,10-24-2023,Zorlu Center
I468630,62,Male,79,Healthcare,2,1418.05,Cash,10-16-2022,Forum Istanbul
I351297,35,Male,37,Beauty,5,2517.11,Cash,04-28-2022,Istanbul Sapphire
I347126,47,Male,42,Furniture,2,1838.46,Cash,08-04-2023,Zorlu Center
I949276,77,Female,53,Kitchenware,4,2850.05,Debit Card,09-30-2023,Metrocity
I593281,71,Male,36,Toys,6,426.84,Cash,05-27-2022,Istanbul Sapphire
I307843,86,Male,45,Sports Equipment,10,2347.71,Cash,02-23-2023,Optimum Outlet
I387777,8,Female,78,Clothing,2,1389.21,Credit Card,08-08-2022,Viaport Outlet
I189904,65,Female,35,Grocery,1,1771.54,Credit Card,12-10-2023,Marmara Forum
I707680,99,Male,45,Sports Equipment,3,933.03,Credit Card,02-27-2023,Viaport Outlet
I115697,0,Female,69,Healthcare,3,1890.32,Credit Card,10-11-2023,Akasya Acıbadem
I670654,33,Female,69,Electronics,5,691.38,Cash,06-26-2022,Mall of Istanbul
I236837,56,Female,51,Kitchenware,2,1547.26,Debit Card,06-04-2023,Metropol AVM
I597858,84,Female,64,Books,1,2308.25,Cash,07-05-2022,Mall of Istanbul
I655173,17,Male,34,Clothing,3,1942.53,Cash,02-23-2023,Istanbul Sapphire
I379642,5,Male,56,Clothing,9,2324.7,Credit Card,08-08-2022,Marmara Forum
I098255,83,Male,61,Beauty,2,601.21,Credit Card,12-09-2022,Emaar Square Mall
I398087,93,Female,52,Kitchenware,6,373.54,Debit Card,09-04-2022,Istanbul Sapphire
I198468,99,Female,71,Healthcare,1,1717.66,Credit Card,01-07-2023,Optimum Outlet
I317120,81,Male,36,Sports Equipment,2,1280.54,Cash,10-23-2022,Mall of Istanbul
I021606,18,Male,48,Healthcare,6,2068.06,Cash,12-23-2022,Istinye Park
I073255,63,Female,59,Healthcare,8,1157.49,Cash,06-05-2023,Istanbul Sapphire
I073696,26,Male,80,Grocery,8,2156.91,Cash,03-10-2023,Forum Istanbul
I221881,0,Female,45,Garden Supplies,9,1215.58,Cash,03-08-2024,Zorlu Center
I643816,73,Female,73,Healthcare,7,1051.36,Debit Card,08-02-2023,Cevahir Mall
I063750,63,Female,31,Garden Supplies,5,2666.53,Debit Card,09-12-2022,Optimum Outlet
I524240,80,Male,79,Grocery,2,782.0,Credit Card,06-02-2022,Marmara Forum
I647977,92,Female,51,Electronics,1,1319.84,Cash,09-09-2022,Marmara Forum
I671245,83,Female,61,Kitchenware,2,2258.47,Debit Card,01-27-2023,Metropol AVM
I334464,72,Male,57,Electronics,10,2684.02,Debit Card,09-04-2022,Kanyon
I368201,57,Male,22,Jewelry,6,1701.87,Debit Card,10-20-2022,Viaport Outlet
I602007,46,Female,52,Books,10,1226.15,Credit Card,05-12-2022,Metrocity
I555182,69,Female,58,Toys,2,2189.96,Debit Card,08-21-2022,Akasya Acıbadem
I227692,76,Female,36,Furniture,3,1661.24,Cash,08-30-2023,Cevahir Mall
I603313,14,Female,63,Grocery,1,1407.85,Cash,05-04-2023,Metropol AVM
I331015,47,Female,52,Clothing,5,2660.21,Credit Card,02-28-2023,Istinye Park
I334880,42,Female,59,Jewelry,8,1203.27,Cash,05-11-2022,Metrocity
I016670,21,Male,40,Electronics,7,2055.47,Debit Card,04-01-2024,Istinye Park
I704931,5,Male,34,Grocery,2,1574.96,Debit Card,10-13-2023,Emaar Square Mall
I988315,12,Female,28,Grocery,1,768.74,Credit Card,04-30-2022,Akasya Acıbadem
I615436,52,Male,73,Beauty,6,2924.36,Debit Card,03-07-2024,Capacity
I931449,22,Female,45,Healthcare,6,2238.25,Cash,04-27-2022,Marmara Forum
I659168,85,Female,40,Sports Equipment,10,812.29,Debit Card,03-25-2024,Capacity
I742713,79,Female,19,Electronics,6,354.04,Credit Card,12-22-2023,Forum Istanbul
I454803,56,Female,42,Garden Supplies,10,2370.37,Cash,03-12-2024,Kanyon
I873900,62,Male,18,Beauty,3,1080.55,Cash,12-10-2023,Cevahir Mall
I957428,17,Male,64,Kitchenware,4,271.96,Debit Card,08-09-2023,Istinye Park
I831301,28,Male,48,Electronics,9,1585.41,Credit Card,08-29-2022,Emaar Square Mall
I655528,32,Male,79,Toys,5,830.99,Credit Card,08-13-2023,Akasya Acıbadem
I125127,43,Male,71,Shoes,5,2082.67,Credit Card,02-21-2024,Zorlu Center
I169199,83,Male,50,Kitchenware,6,1323.91,Credit Card,02-13-2023,Kanyon
I213698,86,Female,78,Garden Supplies,3,1624.86,Credit Card,01-20-2023,Metrocity
I418259,64,Male,20,Kitchenware,8,2224.76,Debit Card,04-01-2023,Forum Istanbul
I220318,82,Male,77,Healthcare,6,2982.88,Credit Card,03-27-2024,Istinye Park
I865037,1,Female,65,Stationery,6,2856.86,Debit Card,09-03-2022,Capacity
I504131,21,Male,26,Shoes,7,2435.96,Credit Card,01-25-2024,Mall of Istanbul
I583297,22,Male,29,Sports Equipment,2,2069.55,Credit Card,01-17-2023,Marmara Forum
I511871,67,Female,32,Grocery,3,1263.38,Credit Card,03-02-2024,Optimum Outlet
I026587,36,Female,61,Kitchenware,5,2112.37,Debit Card,09-25-2022,Capacity
I210579,39,Female,77,Kitchenware,3,470.15,Cash,10-16-2022,Capacity
I733290,69,Female,58,Electronics,9,2770.07,Cash,05-17-2023,Metrocity
I544692,39,Female,29,Books,7,2883.63,Debit Card,10-24-2023,Emaar Square Mall
I753600,76,Male,60,Stationery,10,2403.17,Debit Card,04-29-2023,Istinye Park
I812608,97,Male,30,Electronics,4,1914.11,Debit Card,07-13-2022,Capacity
I072676,66,Female,59,Furniture,6,1746.12,Debit Card,07-25-2023,Kanyon
I973332,8,Male,70,Sports Equipment,6,2996.72,Debit Card,12-07-2022,Cevahir Mall
I377629,42,Male,31,Home Appliances,10,2779.19,Cash,09-06-2022,Cevahir Mall
I955419,40,Female,24,Garden Supplies,7,2809.92,Cash,08-23-2023,Kanyon
I021374,100,Male,47,Beauty,4,1682.31,Debit Card,02-02-2024,Kanyon
I355036,40,Female,70,Electronics,10,1490.58,Debit Card,10-12-2022,Zorlu Center
I021438,75,Male,40,Books,3,291.57,Cash,11-11-2022,Istanbul Sapphire
I033849,24,Female,56,Furniture,6,2361.11,Debit Card,10-01-2022,Akasya Acıbadem
I194117,3,Female,72,Garden Supplies,9,2783.21,Credit Card,12-07-2023,Marmara Forum
I954741,10,Male,51,Shoes,2,606.62,Cash,02-25-2023,Viaport Outlet
I201577,27,Male,60,Jewelry,6,2821.53,Credit Card,05-29-2023,Zorlu Center
I798918,55,Female,66,Toys,8,1975.18,Debit Card,02-01-2023,Forum Istanbul
I970259,47,Male,41,Electronics,5,2131.17,Cash,04-30-2022,Kanyon
I555844,16,Male,21,Grocery,6,1835.55,Debit Card,12-07-2023,Forum Istanbul
I005059,18,Male,28,Stationery,8,2061.37,Credit Card,09-18-2022,Forum Istanbul
I670969,57,Male,75,Electronics,5,2759.49,Cash,05-17-2022,Cevahir Mall
I340648,75,Male,28,Garden Supplies,4,1559.65,Cash,12-06-2023,Metrocity
I556990,9,Male,22,Home Appliances,1,1552.58,Credit Card,09-11-2022,Forum Istanbul
I510092,34,Male,60,Toys,2,674.46,Cash,02-17-2024,Zorlu Center
I947905,21,Male,22,Shoes,3,1804.07,Cash,03-26-2024,Optimum Outlet
I924574,100,Male,36,Shoes,5,1919.36,Credit Card,11-20-2023,Zorlu Center
I666703,28,Male,63,Healthcare,10,1904.49,Debit Card,08-03-2023,Akasya Acıbadem
I561325,18,Male,35,Clothing,3,852.85,Cash,09-03-2022,Viaport Outlet
I555421,69,Male,63,Beauty,2,1915.62,Cash,08-29-2022,Forum Istanbul
I482548,51,Male,40,Jewelry,9,2512.68,Cash,07-26-2023,Emaar Square Mall
I917712,22,Female,76,Healthcare,2,2949.84,Debit Card,04-28-2023,Zorlu Center
I969154,54,Female,46,Furniture,5,468.9,Debit Card,01-05-2024,Mall of Istanbul
I785711,54,Female,24,Clothing,1,2146.95,Debit Card,01-07-2024,Marmara Forum
I823454,24,Female,22,Furniture,1,673.92,Credit Card,09-03-2023,Optimum Outlet
I136415,40,Male,72,Furniture,7,2192.41,Cash,07-31-2023,Viaport Outlet
I175366,100,Male,79,Healthcare,8,253.41,Debit Card,05-18-2023,Viaport Outlet
I650078,5,Male,79,Home Appliances,10,2004.09,Debit Card,07-30-2022,Cevahir Mall
I250195,42,Male,74,Electronics,6,2484.79,Credit Card,07-16-2022,Optimum Outlet
I862711,94,Female,75,Stationery,7,963.0,Credit Card,05-03-2023,Viaport Outlet
I487357,94,Female,18,Healthcare,5,377.69,Credit Card,05-02-2022,Emaar Square Mall
I770271,9,Male,72,Clothing,9,2085.64,Debit Card,02-26-2024,Optimum Outlet
I012668,88,Female,73,Jewelry,2,1295.18,Cash,12-06-2023,Metrocity
I067589,17,Female,59,Sports Equipment,2,2768.56,Debit Card,04-18-2024,Capacity
I703538,12,Female,73,Healthcare,10,2733.02,Cash,10-04-2023,Optimum Outlet
I926810,93,Male,76,Clothing,8,910.83,Credit Card,01-09-2023,Mall of Istanbul
I917629,8,Male,57,Shoes,4,1836.36,Credit Card,08-28-2022,Mall of Istanbul
I155706,14,Male,66,Books,5,187.01,Debit Card,03-16-2023,Viaport Outlet
I121993,98,Female,21,Beauty,9,219.35,Credit Card,04-21-2023,Forum Istanbul
I725467,62,Female,75,Garden Supplies,8,2209.8,Debit Card,11-09-2022,Viaport Outlet
I773572,58,Male,43,Sports Equipment,1,430.08,Cash,06-10-2023,Zorlu Center
I182264,41,Male,30,Shoes,10,1194.75,Credit Card,12-28-2023,Cevahir Mall
I244461,20,Female,37,Kitchenware,1,619.86,Debit Card,03-04-2024,Zorlu Center
I215532,85,Male,76,Kitchenware,1,1911.4,Credit Card,06-23-2023,Mall of Istanbul
I204719,8,Female,75,Shoes,7,452.01,Debit Card,01-12-2023,Metrocity
I407443,68,Female,18,Kitchenware,2,2195.4,Credit Card,04-13-2023,Metrocity
I952792,11,Female,51,Sports Equipment,7,2515.07,Credit Card,11-06-2023,Capacity
I183084,34,Female,35,Clothing,10,971.4,Credit Card,10-29-2022,Istanbul Sapphire
I145961,8,Female,50,Electronics,4,2557.51,Credit Card,06-20-2022,Forum Istanbul
I416749,29,Male,71,Grocery,4,1549.36,Debit Card,09-27-2022,Metropol AVM
I930484,4,Female,68,Clothing,4,2940.47,Credit Card,12-31-2023,Emaar Square Mall
I991160,61,Female,75,Healthcare,5,1663.55,Credit Card,01-24-2024,Capacity
I354403,95,Male,71,Beauty,5,2509.04,Cash,01-11-2024,Metrocity
I846848,57,Male,53,Healthcare,2,1390.66,Cash,06-08-2023,Metrocity
I836760,4,Male,55,Stationery,8,810.95,Debit Card,01-27-2023,Viaport Outlet
I786733,23,Female,18,Sports Equipment,7,1798.61,Debit Card,01-15-2023,Forum Istanbul
I229514,69,Female,26,Grocery,8,2372.13,Cash,07-28-2022,Capacity
I237985,66,Male,71,Shoes,2,618.04,Cash,07-30-2022,Istinye Park
I919312,43,Female,77,Books,3,2532.46,Cash,11-08-2023,Istinye Park
I328884,65,Female,48,Kitchenware,10,1491.68,Debit Card,11-09-2023,Zorlu Center
I373259,61,Female,74,Home Appliances,7,2637.95,Debit Card,04-27-2023,Metrocity
I194534,48,Male,72,Toys,10,2942.12,Cash,01-28-2023,Zorlu Center
I316942,40,Male,35,Jewelry,2,2402.44,Debit Card,01-18-2024,Akasya Acıbadem
I032924,92,Male,77,Clothing,8,1350.94,Cash,06-19-2022,Emaar Square Mall
I795497,46,Male,29,Stationery,1,840.4,Debit Card,10-10-2022,Zorlu Center
I405879,45,Male,46,Beauty,9,1309.11,Cash,09-07-2023,Zorlu Center
I945276,8,Female,75,Toys,8,1160.01,Debit Card,04-14-2024,Istinye Park
I725447,19,Male,19,Clothing,3,579.19,Cash,12-13-2022,Emaar Square Mall
I487889,25,Female,47,Garden Supplies,10,1824.38,Credit Card,01-24-2023,Akasya Acıbadem
I307739,14,Male,78,Beauty,5,2423.13,Credit Card,03-21-2024,Marmara Forum
I687477,90,Male,37,Toys,4,1446.29,Credit Card,07-27-2023,Viaport Outlet
I445552,60,Male,36,Shoes,7,2720.93,Debit Card,07-22-2022,Metrocity
I844441,26,Female,47,Garden Supplies,2,2827.82,Debit Card,05-27-2022,Istinye Park
I602812,17,Female,77,Toys,6,109.88,Credit Card,06-10-2022,Emaar Square Mall
I009783,49,Male,20,Furniture,4,2622.68,Cash,05-16-2023,Marmara Forum
I071983,27,Female,79,Beauty,9,428.06,Cash,01-09-2023,Kanyon
I900483,31,Male,31,Home Appliances,9,931.74,Cash,04-11-2024,Emaar Square Mall
I113045,28,Male,42,Jewelry,6,2579.89,Debit Card,11-03-2022,Metrocity
I960601,39,Male,33,Garden Supplies,6,709.73,Debit Card,07-24-2023,Mall of Istanbul
I203515,16,Female,59,Sports Equipment,2,2370.0,Debit Card,02-15-2024,Kanyon
I353338,51,Female,71,Clothing,9,1297.38,Credit Card,04-22-2023,Capacity
I108594,13,Male,77,Healthcare,7,909.03,Debit Card,01-21-2023,Cevahir Mall
I367988,38,Female,30,Jewelry,9,1165.16,Credit Card,01-09-2023,Cevahir Mall
I900824,81,Male,31,Toys,9,388.95,Debit Card,12-12-2022,Metrocity
I727003,89,Male,71,Grocery,5,636.72,Credit Card,03-22-2023,Optimum Outlet
I295858,38,Female,18,Jewelry,6,730.65,Debit Card,06-05-2023,Mall of Istanbul
I017761,53,Female,57,Grocery,10,2023.91,Cash,07-18-2022,Akasya Acıbadem
I437962,89,Male,19,Shoes,4,2247.58,Debit Card,12-18-2022,Cevahir Mall
I450934,80,Male,53,Grocery,5,66.9,Credit Card,04-15-2024,Metrocity
I111331,35,Female,55,Beauty,10,2674.16,Debit Card,09-30-2023,Cevahir Mall
I465446,80,Female,58,Furniture,3,2873.48,Cash,11-01-2023,Emaar Square Mall
I819875,24,Male,27,Electronics,6,1065.98,Debit Card,01-20-2024,Istinye Park
I565759,35,Male,76,Shoes,3,2471.22,Cash,02-27-2024,Viaport Outlet
I844549,82,Female,23,Grocery,3,930.42,Debit Card,08-06-2023,Istinye Park
I395746,13,Male,69,Home Appliances,10,1524.2,Debit Card,01-05-2024,Capacity
I526475,71,Female,75,Home Appliances,7,549.56,Debit Card,05-24-2023,Mall of Istanbul
I857112,79,Female,43,Furniture,10,2225.35,Debit Card,12-10-2022,Metropol AVM
I068898,84,Male,67,Shoes,7,1625.35,Cash,05-08-2023,Kanyon
I866245,17,Female,75,Sports Equipment,1,1746.84,Cash,11-18-2022,Istanbul Sapphire
I301524,54,Male,38,Grocery,6,2691.35,Credit Card,04-30-2023,Capacity
I108826,7,Female,27,Jewelry,4,1409.12,Credit Card,11-11-2022,Emaar Square Mall
I182360,90,Female,40,Beauty,5,118.08,Credit Card,09-21-2023,Forum Istanbul
I068353,93,Female,75,Healthcare,8,2477.84,Credit Card,04-16-2024,Viaport Outlet
I474250,22,Male,26,Kitchenware,10,2975.98,Debit Card,11-16-2022,Forum Istanbul
I237899,63,Male,21,Clothing,8,24.93,Debit Card,02-10-2024,Emaar Square Mall
I856792,49,Male,60,Clothing,4,1428.96,Cash,05-29-2022,Forum Istanbul
I270078,22,Female,42,Furniture,10,1694.13,Debit Card,07-09-2022,Akasya Acıbadem
I609290,3,Female,33,Grocery,5,451.58,Credit Card,04-19-2023,Mall of Istanbul
I640627,38,Female,40,Furniture,10,2587.83,Cash,02-17-2024,Akasya Acıbadem
I322580,98,Male,70,Shoes,1,2234.71,Credit Card,01-21-2024,Metropol AVM
I839322,38,Male,20,Jewelry,10,993.0,Debit Card,09-04-2023,Optimum Outlet
I987351,37,Female,74,Books,1,2838.95,Credit Card,04-09-2024,Capacity
I215965,81,Male,54,Sports Equipment,7,104.43,Debit Card,02-15-2024,Istanbul Sapphire
I999748,98,Female,28,Healthcare,1,214.79,Cash,02-27-2024,Istanbul Sapphire
I280579,51,Male,54,Toys,8,1090.03,Debit Card,08-30-2022,Metropol AVM
I185152,2,Male,48,Electronics,5,980.38,Debit Card,11-17-2022,Metrocity
I712896,83,Female,39,Stationery,2,1636.02,Debit Card,06-04-2023,Marmara Forum
I636609,35,Male,22,Grocery,5,152.63,Debit Card,09-03-2023,Emaar Square Mall
I280598,13,Male,69,Kitchenware,4,493.9,Cash,01-21-2023,Kanyon
I707042,91,Male,50,Stationery,10,2130.19,Debit Card,01-24-2024,Cevahir Mall
I685090,14,Female,52,Home Appliances,9,1811.21,Credit Card,02-01-2023,Istanbul Sapphire
I617867,51,Male,19,Kitchenware,2,2043.47,Debit Card,02-03-2024,Capacity
I158037,62,Male,31,Books,1,2116.04,Credit Card,05-13-2022,Viaport Outlet
I287667,71,Male,41,Stationery,9,1634.48,Cash,02-29-2024,Metropol AVM
I569607,30,Female,80,Clothing,10,1024.0,Cash,03-12-2024,Kanyon
I678021,59,Female,68,Toys,2,2436.49,Debit Card,09-26-2022,Marmara Forum
I089301,71,Female,37,Beauty,1,2378.96,Credit Card,12-21-2022,Optimum Outlet
I565693,79,Male,23,Healthcare,3,2837.37,Debit Card,12-29-2022,Istanbul Sapphire
I264539,61,Male,64,Home Appliances,9,2177.76,Debit Card,07-21-2022,Cevahir Mall
I582139,92,Female,62,Books,6,77.88,Debit Card,08-25-2022,Marmara Forum
I611547,47,Male,69,Grocery,9,1603.16,Cash,03-02-2023,Metrocity
I735006,55,Female,56,Furniture,10,1011.91,Debit Card,05-15-2023,Viaport Outlet
I239302,6,Female,26,Electronics,5,1595.68,Cash,07-09-2023,Viaport Outlet
I211230,74,Female,37,Kitchenware,7,879.25,Credit Card,06-07-2022,Forum Istanbul
I673049,61,Female,42,Furniture,6,2448.78,Debit Card,01-06-2023,Metropol AVM
I116545,82,Male,44,Electronics,1,2124.73,Debit Card,08-22-2023,Zorlu Center
I141980,4,Male,30,Toys,3,755.62,Cash,06-23-2022,Metrocity
I628349,46,Female,32,Clothing,4,1384.21,Credit Card,07-10-2022,Zorlu Center
I493150,31,Male,28,Electronics,5,861.1,Credit Card,01-07-2024,Optimum Outlet
I815064,98,Male,21,Toys,3,1965.74,Cash,08-25-2023,Emaar Square Mall
I851249,89,Female,25,Beauty,8,1823.11,Debit Card,08-24-2023,Optimum Outlet
I801270,64,Female,26,Garden Supplies,3,105.34,Credit Card,12-17-2023,Metropol AVM
I804208,74,Male,36,Books,3,2139.19,Cash,11-29-2023,Istanbul Sapphire
I533148,42,Male,60,Shoes,3,1335.46,Credit Card,10-21-2022,Metrocity
I219989,19,Male,52,Grocery,7,2912.31,Credit Card,04-28-2022,Emaar Square Mall
I358454,33,Male,36,Furniture,4,1153.54,Cash,12-16-2022,Akasya Acıbadem
I294482,63,Female,72,Toys,2,2801.22,Debit Card,05-31-2022,Zorlu Center
I136454,91,Male,55,Home Appliances,3,1679.14,Debit Card,04-12-2024,Akasya Acıbadem
I710833,76,Female,77,Kitchenware,10,1222.97,Debit Card,09-11-2023,Cevahir Mall
I113599,7,Male,24,Jewelry,9,536.84,Cash,03-11-2024,Marmara Forum
I120987,100,Female,29,Shoes,1,600.13,Debit Card,10-07-2022,Zorlu Center
I949697,8,Female,29,Sports Equipment,1,2849.1,Credit Card,11-21-2023,Optimum Outlet
I791498,99,Female,28,Stationery,8,1599.59,Debit Card,12-27-2022,Akasya Acıbadem
I787172,82,Male,69,Kitchenware,1,2277.61,Debit Card,04-30-2023,Viaport Outlet
I119898,78,Male,43,Sports Equipment,9,2420.43,Debit Card,04-02-2023,Metrocity
I671067,9,Female,30,Stationery,3,2501.07,Cash,02-02-2023,Metrocity
I811823,44,Male,41,Clothing,5,408.88,Debit Card,11-02-2022,Optimum Outlet
I233416,76,Male,19,Electronics,1,2237.77,Debit Card,07-24-2022,Viaport Outlet
I419268,21,Female,33,Stationery,3,1574.64,Cash,08-24-2022,Istanbul Sapphire
I368191,90,Male,60,Sports Equipment,3,2957.25,Cash,05-07-2023,Marmara Forum
I735411,30,Female,59,Jewelry,2,51.4,Debit Card,10-30-2023,Viaport Outlet
I027209,28,Male,80,Garden Supplies,9,1382.0,Debit Card,01-12-2024,Mall of Istanbul
I239594,67,Male,74,Beauty,6,2779.45,Debit Card,11-16-2023,Capacity
I601342,45,Female,41,Stationery,3,2245.02,Debit Card,11-22-2022,Metrocity
I022933,68,Male,55,Beauty,10,1565.98,Cash,09-27-2023,Emaar Square Mall
I710468,58,Female,37,Shoes,8,855.84,Credit Card,08-17-2022,Capacity
I024398,59,Female,68,Books,9,132.87,Credit Card,02-24-2023,Marmara Forum
I430840,37,Female,61,Home Appliances,8,630.28,Debit Card,08-11-2023,Zorlu Center
I787412,39,Female,56,Shoes,6,2025.84,Cash,03-04-2024,Capacity
I256293,80,Female,41,Toys,8,1908.73,Credit Card,04-02-2023,Emaar Square Mall
I057668,73,Male,55,Electronics,6,1776.71,Debit Card,09-30-2023,Emaar Square Mall
I510491,37,Male,54,Beauty,6,2478.17,Cash,03-15-2023,Forum Istanbul
I018978,85,Female,18,Healthcare,1,1242.69,Credit Card,06-02-2022,Viaport Outlet
I153905,47,Male,21,Stationery,2,290.53,Cash,11-03-2023,Marmara Forum
I068400,86,Female,47,Grocery,4,245.65,Cash,08-24-2022,Cevahir Mall
I115742,63,Male,79,Garden Supplies,7,1571.27,Credit Card,06-28-2022,Optimum Outlet
I682131,83,Male,46,Toys,5,497.46,Credit Card,02-21-2023,Mall of Istanbul
I718415,52,Male,77,Kitchenware,4,2307.45,Debit Card,08-12-2023,Capacity
I327004,89,Female,51,Toys,10,1135.94,Cash,10-24-2023,Istinye Park
I696127,97,Female,37,Grocery,9,2420.91,Credit Card,03-11-2023,Mall of Istanbul
I083355,61,Female,75,Stationery,1,1184.93,Credit Card,01-30-2024,Optimum Outlet
I935690,82,Female,30,Home Appliances,3,784.33,Debit Card,04-19-2024,Metrocity
I485507,79,Female,28,Clothing,8,2567.79,Cash,04-15-2023,Mall of Istanbul
I565691,44,Male,62,Shoes,2,156.84,Cash,10-09-2022,Kanyon
I107076,5,Male,21,Sports Equipment,1,1751.13,Cash,02-25-2023,Metrocity
I298293,71,Female,40,Home Appliances,4,1299.12,Credit Card,09-12-2022,Kanyon
I435320,59,Female,40,Furniture,8,674.64,Cash,10-14-2022,Kanyon
I938148,78,Male,34,Garden Supplies,7,73.03,Credit Card,12-25-2023,Zorlu Center
I062978,69,Female,45,Kitchenware,6,2033.38,Cash,03-11-2024,Metrocity
I414169,74,Male,29,Garden Supplies,4,379.79,Credit Card,01-29-2023,Cevahir Mall
I885878,4,Female,78,Beauty,9,2278.42,Credit Card,04-29-2023,Emaar Square Mall
I390938,58,Male,59,Beauty,4,1136.16,Debit Card,05-30-2022,Mall of Istanbul
I958238,78,Male,69,Furniture,2,1717.42,Credit Card,05-24-2022,Capacity
I333462,92,Male,50,Jewelry,2,2953.3,Credit Card,08-15-2023,Mall of Istanbul
I557002,80,Male,64,Books,10,287.02,Cash,02-02-2023,Marmara Forum
I628598,47,Female,75,Books,4,706.79,Cash,06-19-2023,Emaar Square Mall
I089821,95,Female,60,Electronics,3,1205.92,Debit Card,08-14-2022,Metrocity
I981992,8,Male,19,Kitchenware,2,2140.84,Debit Card,12-06-2022,Capacity
I902948,21,Female,35,Books,10,1091.09,Cash,06-10-2022,Forum Istanbul
I717800,30,Male,31,Garden Supplies,10,2424.07,Credit Card,04-29-2023,Cevahir Mall
I642607,89,Female,61,Furniture,10,2020.92,Credit Card,03-14-2023,Forum Istanbul
I346341,37,Female,49,Healthcare,5,260.41,Credit Card,06-28-2023,Kanyon
I833442,78,Male,68,Grocery,3,2905.97,Cash,07-27-2023,Viaport Outlet
I911359,67,Male,39,Kitchenware,7,1621.2,Cash,06-28-2022,Mall of Istanbul
I416005,47,Female,75,Kitchenware,5,2625.92,Cash,10-17-2023,Akasya Acıbadem
I412699,95,Male,46,Kitchenware,5,1287.34,Debit Card,04-27-2022,Forum Istanbul
I655594,48,Male,79,Garden Supplies,7,2903.45,Credit Card,11-10-2023,Capacity
I315990,19,Female,44,Clothing,4,2977.08,Credit Card,12-12-2023,Metrocity
